method,cell_type_score,batch_score
GLUE,0.13355639119353208,0.9921611370535206
GLUE,0.14541343831246886,0.9952293357301657
GLUE,0.1348671913467654,0.9957649755599873
Liger,0.06923177505381099,0.9809887452908557
GLUE,0.1441615807581314,0.9958130107361479
Liger,0.06455019272996515,0.9864889385626712
bindSC,0.05926764947892182,0.9973886921696796
Liger,0.07996543591855247,0.9876324837068334
Liger,0.047465756662122154,0.9909824227365811
GLUE,0.13797924349325627,0.9941596641579213
GLUE,0.13747958381012784,0.9934038370001479
Liger,0.05888397309791521,0.9848113354251948
Liger,0.05409364594512199,0.9896759692272247
SiaNN,0.30421965515629174,0.9881739401046272
GLUE,0.1467253963224808,0.9930030831440773
Liger,0.07323625831654933,0.9782303267105136
Liger,0.04177403662556627,0.9892976771977025
GLUE,0.13064930822778276,0.9954093025295917
Seurat,0.2561889825337429,0.9703910167613012
